#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1090,X,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1091,T,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1092,R,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1093,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1094,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1095,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1096,E,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1097,C,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1098,A,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1099,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1100,B,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1101,Z,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1102,X,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1103,T,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1104,R,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1105,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1106,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1107,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1108,E,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1109,C,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1110,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1111,U,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1112,S,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1113,P,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1114,L,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1115,J,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1116,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1117,D,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1118,B,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1119,Z,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1120,T,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1121,R,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1122,M,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1123,K,Mercedes Benz,Citaro,EvoBus,LTA Storage,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1124,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1125,E,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1126,C,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1127,A,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1128,Y,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1129,U,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1130,P,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1131,L,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1132,J,,,,,,,,,,,,,,,
1133,G,,,,,,,,,,,,,,,
1134,D,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1135,B,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1136,Z,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1137,X,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1138,T,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1139,R,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1140,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1141,H,,,,,,,,,,,,,,,
1142,E,,,,,,,,,,,,,,,
1143,C,,,,,,,,,,,,,,,
1144,A,,,,,,,,,,,,,,,
1145,Y,,,,,,,,,,,,,,,
1146,U,,,,,,,,,,,,,,,
1147,S,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1148,P,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1149,L,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1150,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1151,D,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1152,B,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1153,Z,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1154,X,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1155,T,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1156,R,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1157,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1158,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1159,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1160,C,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1161,A,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1162,Y,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1163,U,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1164,S,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1165,P,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1166,L,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1167,J,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1168,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1169,D,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1170,Z,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1171,X,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1172,T,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1173,R,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1174,M,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1175,K,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1176,H,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1177,E,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
